Company Name,Symbol
Britannia Industries Ltd.,BRITANNIA
Colgate Palmolive (India) Ltd.,COLPAL
Dabur India Ltd.,DABUR
E.I.D. Parry (India) Ltd.,EIDPARRY
Emami Ltd.,EMAMILTD
GlaxoSmithkline Consumer Healthcare Ltd.,GSKCONS
Godrej Consumer Products Ltd.,GODREJCP
Hindustan Unilever Ltd.,HINDUNILVR
I T C Ltd.,ITC
Jubilant Foodworks Ltd.,JUBLFOOD
Marico Ltd.,MARICO
McLeod Russel India Ltd.,MCLEODRUSS
Tata Global Beverages Ltd.,TATAGLOBAL
United Breweries Ltd.,UBL
United Spirits Ltd.,MCDOWELL-N
