Company Name,Symbol
ABB Ltd.,ABB
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
Adani Power Ltd.,ADANIPOWER
Bharat Heavy Electricals Ltd.,BHEL
Bharti Airtel Ltd.,BHARTIARTL
Crompton Greaves Ltd.,CROMPGREAV
GMR Infrastructure Ltd.,GMRINFRA
IRB Infrastructure Developers Ltd.,IRB
IVRCL Ltd.,IVRCLINFRA
Idea Cellular Ltd.,IDEA
JSW Energy Ltd.,JSWENERGY
Jaiprakash Associates Ltd.,JPASSOCIAT
Larsen & Toubro Ltd.,LT
NHPC Ltd.,NHPC
NTPC Ltd.,NTPC
Power Grid Corporation of India Ltd.,POWERGRID
Punj Lloyd Ltd.,PUNJLLOYD
Reliance Communications Ltd.,RCOM
Reliance Infrastructure Ltd.,RELINFRA
Reliance Power Ltd.,RPOWER
Siemens Ltd.,SIEMENS
Suzlon Energy Ltd.,SUZLON
Tata Communications Ltd.,TATACOMM
Tata Power Co. Ltd.,TATAPOWER
Voltas Ltd.,VOLTAS
