Company Name,Symbol
CMC Ltd.,CMC
CORE Education & Technologies Ltd.,COREEDUTEC
Educomp Solutions Ltd.,EDUCOMP
Financial Technologies (India) Ltd.,FINANTECH
HCL Technologies Ltd.,HCLTECH
Hexaware Technologies Ltd.,HEXAWARE
Info Edge (India) Ltd.,NAUKRI
Infosys Ltd.,INFY
KPIT Cummins Infosystem Ltd.,KPIT
MindTree Ltd.,MINDTREE
MphasiS Ltd.,MPHASIS
NIIT Technologies Ltd.,NIITTECH
Oracle Financial Services Software Ltd.,OFSS
Polaris Financial Technology Ltd.,POLARIS
Rolta India Ltd.,ROLTA
Tata Consultancy Services Ltd.,TCS
Tech Mahindra Ltd.,TECHM
Vakrangee Software Ltd.,VAKRANSOFT
Wipro Ltd.,WIPRO
eClerx Services Ltd.,ECLERX
