Company Name,Symbol
D.B.Corp Ltd.,DBCORP
Deccan Chronicle Holdings Ltd.,DCHL
Den Networks Ltd.,DEN
Dish TV India Ltd.,DISHTV
Entertainment Network India Ltd.,ENIL
Eros Intl Media Ltd.,EROSMEDIA
HT Media Ltd.,HTMEDIA
Hathway Cable & Datacom Ltd.,HATHWAY
Jagran Prakashan Ltd.,JAGRAN
Navneet Publications (India) Ltd.,NAVNETPUBL
Prime Focus Ltd,PFOCUS
Shree Ashtavinayak Cine Vision Ltd.,SHREEASHTA
Sun TV Network Ltd.,SUNTV
TV18 Broadcast Ltd.,TV18BRDCST
Zee Entertainment Enterprises Ltd.,ZEEL
