Company Name,Symbol
Bhushan Steel Ltd.,BHUSANSTL
Coal India Ltd.,COALINDIA
Gujarat Mineral Development Corporation Ltd.,GMDCLTD
Hindalco Industries Ltd.,HINDALCO
JSW Steel Ltd.,JSWSTEEL
Jindal Saw Ltd.,JINDALSAW
Jindal Steel & Power Ltd.,JINDALSTEL
MOIL Ltd.,MOIL
Monnet Ispat and Energy Ltd.,MONNETISPA
National Aluminium Co. Ltd.,NATIONALUM
Orissa Min Dev Co Ltd.,ORISSAMINE
Sesa Goa Ltd.,SESAGOA
Steel Authority of India Ltd.,SAIL
Tata Steel Ltd.,TATASTEEL
Welspun Corp Ltd.,WELCORP
