Company Name,Symbol
ABB Ltd.,ABB
Adani Power Ltd.,ADANIPOWER
Aditya Birla Nuvo Ltd.,ABIRLANUVO
Allahabad Bank,ALBK
Amtek Auto Ltd.,AMTEKAUTO
Andhra Bank,ANDHRABANK
Apollo Hospitals Enterprises Ltd.,APOLLOHOSP
Apollo Tyres Ltd.,APOLLOTYRE
Ashok Leyland Ltd.,ASHOKLEY
Aurobindo Pharma Ltd.,AUROPHARMA
Bajaj Finserv Ltd.,BAJAJFINSV
Bata India Ltd.,BATAINDIA
Bharat Electronics Ltd.,BEL
Bharat Forge Ltd.,BHARATFORG
Bhushan Steel Ltd.,BHUSANSTL
Biocon Ltd.,BIOCON
Britannia Industries Ltd.,BRITANNIA
CESC Ltd.,CESC
Cadila Healthcare Ltd.,CADILAHC
Castrol (India) Ltd.,CASTROL
Century Textile & Industries Ltd.,CENTURYTEX
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT
Corporation Bank,CORPBANK
Dish TV India Ltd.,DISHTV
Divi's Laboratories Ltd.,DIVISLAB
EIH Ltd.,EIHOTEL
Engineers India Ltd.,ENGINERSIN
GMR Infrastructure Ltd.,GMRINFRA
GVK Power & Infrastructures Ltd.,GVKPIL
Glenmark Pharmaceuticals Ltd.,GLENMARK
Godrej Consumer Products Ltd.,GODREJCP
Godrej Industries Ltd.,GODREJIND
Great Eastern Shipping Co. Ltd.,GESHIP
Gujarat State Petronet Ltd.,GSPL
Havell's India Ltd.,HAVELLS
Hexaware Technologies Ltd.,HEXAWARE
Hindustan Petroleum Corporation Ltd.,HINDPETRO
Hindustan Zinc Ltd.,HINDZINC
Housing Development and Infrastructure Ltd.,HDIL
IDBI Bank Ltd.,IDBI
IFCI Ltd.,IFCI
ING Vysya Bank Ltd.,INGVYSYABK
IRB Infrastructure Developers Ltd.,IRB
India Cements Ltd.,INDIACEM
Indiabulls Financial Services Ltd.,INDIABULLS
Indiabulls Real Estate Ltd.,IBREALEST
Indian Bank,INDIANB
Indian Hotels Co. Ltd.,INDHOTEL
Indian Overseas Bank ,IOB
Indraprastha Gas Ltd.,IGL
JSW Energy Ltd.,JSWENERGY
Jain Irrigation Systems Ltd.,JISLJALEQS
Jammu & Kashmir Bank Ltd.,J&KBANK
Jubilant Foodworks Ltd.,JUBLFOOD
Kansai Nerolac Paints Ltd.,KANSAINER
Karur Vysya Bank Ltd.,KARURVYSYA
Lanco Infratech Ltd.,LITL
MRF Ltd.,MRF
Madras Cements Ltd.,MADRASCEM
Mahindra & Mahindra Financial Services Ltd.,M&MFIN
Marico Ltd.,MARICO
Max India Ltd.,MAX
Motherson Sumi Systems Ltd.,MOTHERSUMI
MphasiS Ltd.,MPHASIS
NHPC Ltd.,NHPC
Oil India Ltd.,OIL
Opto Circuits (I) Ltd.,OPTOCIRCUI
Oracle Financial Services Software Ltd.,OFSS
Oriental Bank of Commerce,ORIENTBANK
Pantaloon Retail (India) Ltd.,PANTALOONR
Petronet LNG Ltd.,PETRONET
Pfizer Ltd.,PFIZER
Pipavav Defence and Offshore Engineering Company Ltd.,PIPAVAVDOC
Piramal Enterprises Ltd.,PEL
Procter & Gamble Hygiene & Health Care Ltd.,PGHH
Punj Lloyd Ltd.,PUNJLLOYD
Reliance Capital Ltd.,RELCAPITAL
Sanofi India Ltd.,SANOFI
Shipping Corporation of India Ltd.,SCI
Shree Cement Ltd.,SHREECEM
Shree Renuka Sugars Ltd.,RENUKA
Sintex Industries Ltd.,SINTEX
South Indian Bank Ltd.,SOUTHBANK
Strides Arcolab Ltd.,STAR
Sun TV Network Ltd.,SUNTV
Suzlon Energy Ltd.,SUZLON
Syndicate Bank,SYNDIBANK
Tata Chemicals Ltd.,TATACHEM
Tata Global Beverages Ltd.,TATAGLOBAL
Tech Mahindra Ltd.,TECHM
Thermax Ltd.,THERMAX
Torrent Power Ltd.,TORNTPOWER
UCO Bank,UCOBANK
Union Bank of India,UNIONBANK
Unitech Ltd.,UNITECH
United Breweries Ltd.,UBL
United Phosphorus Ltd.,UNIPHOS
Vijaya Bank,VIJAYABANK
Voltas Ltd.,VOLTAS
Welspun Corp Ltd.,WELCORP
