Company Name,Symbol
Bharat Electronics Ltd.,BEL
Bharat Heavy Electricals Ltd.,BHEL
Bharat Petroleum Corporation Ltd.,BPCL
Coal India Ltd.,COALINDIA
Container Corporation of India Ltd.,CONCOR
Engineers India Ltd.,ENGINERSIN
GAIL (India) Ltd.,GAIL
Hindustan Petroleum Corporation Ltd.,HINDPETRO
Indian Oil Corporation Ltd.,IOC
NHPC Ltd.,NHPC
NMDC Ltd.,NMDC
NTPC Ltd.,NTPC
National Aluminium Co. Ltd.,NATIONALUM
Oil & Natural Gas Corporation Ltd.,ONGC
Oil India Ltd.,OIL
Power Finance Corporation Ltd.,PFC
Power Grid Corporation of India Ltd.,POWERGRID
Rural Electrification Corporation Ltd.,RECLTD
Shipping Corporation of India Ltd.,SCI
Steel Authority of India Ltd.,SAIL
