Company Name,Symbol
ABG Shipyard Ltd.,ABGSHIP
Aban Offshore Ltd.,ABAN
Alok Industries Ltd.,ALOKTEXT
Alstom India Ltd.,AIL
Amara Raja Batteries Ltd.,AMARAJABAT
Arvind Ltd.,ARVIND
AstraZenca Pharma India Ltd.,ASTRAZEN
BASF India Ltd.,BASF
BEML Ltd.,BEML
BF Utilities Ltd.,BFUTILITIE
BGR Energy Systems Ltd,BGRENERGY
Bajaj Electricals Ltd,BAJAJELEC
Bajaj Finance Ltd.,BAJFINANCE
Bajaj Hindusthan Ltd.,BAJAJHIND
Balrampur Chini Mills Ltd.,BALRAMCHIN
Berger Paints India Ltd.,BERGEPAINT
Bombay Dyeing & Manufacturing Co. Ltd.,BOMDYEING
Central Bank of India,CENTRALBK
Cox & Kings Ltd.,COX&KINGS
D B Realty Ltd.,DBREALTY
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT
Delta Corp Ltd.,DELTACORP
Dena Bank,DENABANK
Development Credit Bank Ltd,DCB
Dhanlaxmi Bank Ltd.,DHANBANK
Educomp Solutions Ltd.,EDUCOMP
Era Infra Engineering Ltd.,ERAINFRA
Escorts Ltd.,ESCORTS
Essar Oil Ltd.,ESSAROIL
FDC Ltd.,FDC
Finolex Industries Ltd.,FINPIPE
Fortis Healthcare Ltd.,FORTIS
Geodesic Ltd.,GEODESIC
Gitanjali Gems Ltd.,GITANJALI
Glodyne Technoserve Ltd.,GLODYNE
Godrej Properties Ltd.,GODREJPROP
Graphite India Ltd.,GRAPHITE
Greaves Cotton Ltd.,GREAVESCOT
Gujarat Fluorochemicals Ltd.,GUJFLUORO
Gujarat Mineral Development Corporation Ltd.,GMDCLTD
Gujarat Narmada Valley Fertilisers Co. Ltd.,GNFC
Gujarat Pipavav Port Ltd.,GPPL
Hathway Cable & Datacom Ltd.,HATHWAY
Hindustan Construction Co. Ltd.,HCC
Hindustan Oil Exploration Co. Ltd.,HINDOILEXP
Hotel Leela Venture Ltd.,HOTELEELA
IL&FS Transportation Networks Ltd.,IL&FSTRANS
IVRCL Ltd.,IVRCLINFRA
Indiabulls Power Ltd.,IBPOW
JBF Industries Ltd.,JBFIND
JM Financial Ltd.,JMFINANCIL
Jet Airways (India) Ltd.,JETAIRWAYS
Jindal SouthWest Hold Ltd.,JINDALSWHL
Jyoti Structures Ltd.,JYOTISTRUC
KPIT Cummins Infosystem Ltd.,KPIT
Karuturi Global Ltd.,KGL
Kemrock Industries and Exports Ltd.,KEMROCK
L&T Finance Holdings Ltd.,L&TFH
Lakshmi Vilas Bank Ltd.,LAKSHVILAS
MOIL Ltd.,MOIL
Magma Fincorp Ltd.,MAGMA
Mahanagar Telephone Nigam Ltd.,MTNL
Mercator Ltd.,MERCATOR
MindTree Ltd.,MINDTREE
Muthoot Finance Ltd.,MUTHOOTFIN
NCC Ltd.,NCC
NIIT Ltd.,NIITLTD
NIIT Technologies Ltd.,NIITTECH
OnMobile Global Ltd.,ONMOBILE
Orchid Chemicals & Pharmaceuticals Ltd.,ORCHIDCHEM
Orissa Min Dev Co Ltd.,ORISSAMINE
Parsvnath Developer Ltd.,PARSVNATH
Persistent Systems Ltd.,PERSISTENT
Polaris Financial Technology Ltd.,POLARIS
Praj Industries Ltd.,PRAJIND
Prakash Industries Ltd.,PRAKASH
Prism Cement Ltd.,PRISMCEM
Reliance Industrial Infrastructure Ltd.,RIIL
Religare Enterprises Ltd.,RELIGARE
Rolta India Ltd.,ROLTA
S. Kumars Nationwide Ltd.,SKUMARSYNF
SJVN Ltd.,SJVN
SKS Microfinance Ltd.,SKSMICRO
SREI Infrastructure Finance Ltd.,SREINFRA
SRF Ltd.,SRF
Shoppers Stop Ltd.,SHOPERSTOP
State Bank of Bikaner & Jaipur Ltd.,SBBJ
State Bank of Travancore,SBT
Sterlite Technologies Ltd.,STRTECH
Sun Pharma Advanced Research Company Ltd.,SPARC
TTK Prestige Ltd.,TTKPRESTIG
TV18 Broadcast Ltd.,TV18BRDCST
TVS Motor Company Ltd.,TVSMOTOR
Tata Coffee Ltd.,TATACOFFEE
Tulip Telecom Ltd.,TULIP
UFLEX Ltd.,UFLEX
V.I.P. Industries Ltd.,VIPIND
Whirlpool of India Ltd.,WHIRLPOOL
Zydus Wellness Ltd.,ZYDUSWELL
eClerx Services Ltd.,ECLERX
